본부,사업분야,HJCD,현장명,공무,준공일자,UPGJ,GJSEQ,업체코드,최종차수,계약번호,업체명,업체공종,최종실행금액,품의포함실행,최종계약_공급가액,낙찰율,품의포함_낙찰율,기성지급액,기성집행율,계약잔여일수,정산합의서상태2,정산합의사유(합의부도타절등)
건축.주택,주택,201320,(구)인천신문아파트건설공사(인천),김민재 전임,2024-12-04,1010,01,13523,01,1010-01-13523-01,(주)포스코에이앤씨건축사사무소,1010-OPEN 기타,"   9,316,191,932","  11,485,815,000","  11,465,591,000",123.07,99.82,"   3,831,381,000",33.42,79, ,
건축.주택,주택,201320,(구)인천신문아파트건설공사(인천),김민재 전임,2024-12-04,1012,01,04717,02,1012-01-04717-02,대산산업(주),1012-가설펜스공사,               0,"      35,302,000","      34,546,000",,97.86,"      23,919,000",69.24,171, ,
건축.주택,주택,201320,(구)인천신문아파트건설공사(인천),김민재 전임,2024-12-04,1013,01,00100,02,1013-01-00100-02,대하산업개발(주),1013-가설용수공사,"      19,372,000","      38,228,000","      38,228,000",197.34,100,               0,0,201, ,
건축.주택,주택,201320,(구)인천신문아파트건설공사(인천),김민재 전임,2024-12-04,2090,01,98511,00,2090-01-98511-00,(주)장원조경,2090-조경공사,"   1,091,846,810","   1,121,003,810","   1,075,066,000",98.46,95.9,               0,0,293, ,
건축.주택,주택,201320,(구)인천신문아파트건설공사(인천),김민재 전임,2024-12-04,3020,02,11354,04,3020-02-11354-04,(주)토림건설,3020-건축토공사,               0,"     133,724,000","     109,262,000",,81.71,"     109,262,000",100, ,정산합의완료,합의
건축.주택,주택,201320,(구)인천신문아파트건설공사(인천),김민재 전임,2024-12-04,3020,03,11354,01,3020-03-11354-01,(주)토림건설,3020-건축토공사,               0,"       3,415,000","       3,415,000",,100,"       3,415,000",100, ,정산합의완료,타절
건축.주택,주택,201320,(구)인천신문아파트건설공사(인천),김민재 전임,2024-12-04,3022,02,91167,01,3022-02-91167-01,산하건설(주),3022-파일공사,"     221,990,600","     263,915,100","     258,793,100",116.58,98.06,"     258,793,100",100, ,정산합의완료,합의
건축.주택,주택,201320,(구)인천신문아파트건설공사(인천),김민재 전임,2024-12-04,3030,02,15399,00,3030-02-15399-00,(주)보은건설,3030-철근콘크리트공사,               0,"   1,370,480,000","   1,370,480,000",,100,"   1,013,185,200",73.93,79, ,
건축.주택,주택,201320,(구)인천신문아파트건설공사(인천),김민재 전임,2024-12-04,3060,01,18826,00,3060-01-18826-00,(주)에스비공영,3060-습식공사,"     261,354,025","     261,354,025","     383,584,000",146.77,146.77,"      20,353,000",5.31,293, ,
건축.주택,주택,201320,(구)인천신문아파트건설공사(인천),김민재 전임,2024-12-04,3121,01,18770,00,3121-01-18770-00,(주)세일,3121-목창호공사,"       1,309,000","      13,531,320","      19,596,000",1497.02,144.82,               0,0,232, ,
건축.주택,주택,201320,(구)인천신문아파트건설공사(인천),김민재 전임,2024-12-04,3340,01,15529,00,3340-01-15529-00,(주)바우텍,3340-기능성도어공사,"       2,786,000","      34,974,526","      28,761,000",1032.34,82.23,               0,0,293, ,
건축.주택,주택,201320,(구)인천신문아파트건설공사(인천),김민재 전임,2024-12-04,4220,01,09222,02,4220-01-09222-02,(주)기전사,4220-가설전기공사,               0,"      83,451,000","      83,451,000",,100,"      26,175,000",31.37,206, ,
건축.주택,주택,201320,(구)인천신문아파트건설공사(인천),김민재 전임,2024-12-04,4260,01,01567,01,4260-01-01567-01,자이에스앤디(주),4260-통신공사,               0,"      10,180,000","      10,180,000",,100,"       6,920,000",67.98,293, ,
건축.주택,주택,201320,(구)인천신문아파트건설공사(인천),김민재 전임,2024-12-04,5000,02,85707,01,5000-02-85707-01,우양기건(주),5000-설비공사,"     632,132,190","     669,974,190","     808,992,000",127.98,120.75,               0,0,293, ,
건축.주택,주택,201320,(구)인천신문아파트건설공사(인천),김민재 전임,2024-12-04,5170,01,98599,02,5170-01-98599-02,명성엔지니어링(주),5170-가설지하수공사,"      29,344,000","      33,279,000","      33,147,000",112.96,99.6,"      33,147,000",100, ,정산합의완료,합의
그린,전력제어,230720,500kVHVDC동해안~신가평송전선로건설공사(경북),   ,2028-12-31,1011,01,96540,00,1011-01-96540-00,(주)삼우이앤아이,1011-가설사무실공사,               0,"     170,196,000","     170,196,000",,100,               0,0,1754, ,
그린,전력제어,230720,500kVHVDC동해안~신가평송전선로건설공사(경북),   ,2028-12-31,1012,01,04717,00,1012-01-04717-00,대산산업(주),1012-가설펜스공사,               0,"       8,550,000","       8,550,000",,100,               0,0,1754, ,
그린,전력제어,230720,500kVHVDC동해안~신가평송전선로건설공사(경북),   ,2028-12-31,4220,01,89061,00,4220-01-89061-00,(주)상신,4220-가설전기공사,               0,"      48,763,000","      48,763,000",,100,               0,0,1754, ,
