부문.본부,사업분야,현장코드,현장명,착공일(최종),준공일(최종),CM,공무,예산팀담당자,당사직원수(HR),전일,금일출역인원,PLAN계획,ACT실시,보할집계기준월,차수,실행구분,실행예산 리스트,상태,착공이후경과개월수,주소,공사개요
건축.주택,주택,090780,장위자이레디언트(서울),2022-04-01,2025-03-31,김재훈 CM,윤경환 공무,김재경  ,84,"   1,589","   1,461",81.4,69.2,202408,9차,변경,전체실행,완료,30,서울특별시 성북구 장위동 62-1번지 일대,"1)공사기간: 2022.04.01~2025.03.31(36개월)

2)사업규모 및 분류
 
- 대지면적 : 106,438㎡, 연면적 : 443,295.56㎡

- 건폐율 : 23.25%, 용적율 : 261.21%

- 아파트 : 31개동, 2840세대(임대484), 지하3층~31층, 주차대수 : 3,929대
   (1BL:10개동,2BL:12개동,3BL:5개동,4BL:4개동)
 
-사업분류 : 단독, 재개발

3)부대시설 
 - 주민공동시설,근린생활시설
 - 부대복리시설
   (경비실,관리사무소,방재실,MDF실,경로당,보육시설,
    작은도서관,맘스테이션,티하우스)
아파트면세율:95.50%"
건축.주택,주택,092080,메이플자이(서울),2021-10-28,2025-06-27,안용진 담당,김동규 공무,김민주  ,100,"   1,575","   1,508",60.3,60,202407,11차,변경,"[2024.06.26] 전기,설비 변경실행",완료,35,서울특별시 서초구 잠원동 60-3번지 일대,"신반포4지구재건축정비사업

아파트 : 29개동 (지하4층~지상35층), 3,307세대
근생(지하4층~지상5층), 부속동, 문화시설 등

-17.10.17 사업시행인가
-18.12.03 관리처분인가
-21.08.02 사업시행변경인가
-21.10.28 착공  (25.06준공예정)"
건축.주택,주택,092110,철산자이더헤리티지(경기),2021-12-31,2025-05-30,공회진 담당,한대성 공무,김태훈  ,80,"   1,493","   1,354",62.4,66.7,202408,9차,변경,[2024.05.27] 내역 미입력분 수정,완료,33,경기도 광명시 철산동 235번지 일대,"  APT 23개동 (B3층 ~ 40층) 3,804세대, 지하주차장(지하 1~3층), 주민공동시설, 근린생활시설, 부대시설, 주차대수 5,319대(세대당 1.37대)
연면적(591,208.0794M2)"
건축.주택,주택,210160,송도자이더스타(인천),2021-10-01,2024-12-31,박인기 CM,권오준 공무,김민주  ,47,     867,     814,70,68,202403,8차,변경,[2024.06.11] 실행변경1차,완료,36,인천광역시 연수구 송도동 396-11번지,"건물규모 : 지하1층~지상44층 (RC)
 - 아파트 9개동
   총 1,533세대 (테라스하우스 1개동 48세대 포함)
 - 지하주차장 1개동(지하2층)
 - 주차대수 : 2,414대
    공동주택  2,351대(1.53대/세대) 
    근린생활시설 63대
    근린생활시설 63대
부대복리시설
  - 근린생활시설, 관리사무소, 경비실,
    주민공동시설(경로당,어린이집,주민운동시설 등)
"
건축.주택,주택,150840,이문아이파크자이(서울),2021-10-26,2025-11-25,이광수 CM,안상건 공무,이승호  ,48,     804,     819,57.7,57.7,202408,10차,변경,[2024.08.27] 전체실행,진행중,35,서울특별시 동대문구 이문동 255-185 일원,"1. 3-1-2BL(분담이행, GS분)
   - 위      치 : 서울특별시 동대문구 이문동 149-8 일원
   - 건축  면적 : 9,896M2 (2,994평)
   - 연  면  적 : 287,867M2 (87,080평)
   - 규모및용도 : 지하6층 ~지상36층 / 아파트 10개동 / 2,173세대
                  근린생활시설 및 주민공동시설 외 부속동

2. 3-2BL(공동이행, 지분 GS:현산=50:50)
   - 위      치 : 서울특별시 동대문구 이문동 412-1 일원
   - 건축  면적 : 6,577M2 (1,993.1평)
   - 연  면  적 : 25,792M2 (7,815.7평)
   - 규모및용도 : 지하1층 ~지상4층 / 아파트 7개동 / 152세대
                  관리사무소 외 부속동"
건축.주택,주택,220040,음성자이센트럴시티(충북),2022-11-28,2025-11-27,손동성 CM,최진만 공무,김현수  ,40,     690,     661,52.2,56.5,202408,4차,전체실행,[2023.12.08] 전체실행,완료,22,충청북도 음성군 금왕읍 무극리 504-5번지 일원 ," -. 아파트 16개동 1,505세대 (1~27층)
 -. 주차장 B3F~B1F (주차대수 아파트 2,138대 / 근생 10대)
   # 세대당 주차대수 1.42대 (근생제외)
 -. 관리사무소, 주민공동시설, 근린생활시설
     주민운동시설, 어린이집, 경로당 外"
건축.주택,주택,151160,운암자이포레나퍼스티체(광주),2022-11-01,2026-03-31,이재근 CM,윤성근 공무,차동호  ,46,     641,     610,50.1,49.5,202408,8차,변경,[2024.08.02] 전체실행,진행중,23,광주광역시 북구 운암동 252번지 일대,"- 건축규모: 지하3층~지상29층, APT 37개동 (당사분 20개동)
             총 3,214세대 (당사분 1,687세대), 주차 1.33대
- 주요시설: 주민공동시설, 근린생활시설,
             경로당, 보육시설, 커뮤니티센터
- 지분: GS(47.5%/주간사), 한화(42.5%), HDC현산(10%)"
건축.주택,주택,151250,철산자이브리에르(경기),2022-10-31,2026-01-31,이준기 CM,박기원 공무,김현수  ,39,     640,     606,47.3,47.3,202408,7차,변경,[2024.08.20] 전체실행,진행중,23,경기도 광명시 철산동 105번지 일대,"APT 14개동(지하2층~40층), 1490세대, 주민공동시설,근린생활시설, 부대시설"
건축.주택,건축,190440,LG사이언스파크 DP2 2단계 신축공사(서울),2019-12-20,2024-12-31,김장호 CM,서석수 공무,하정환  ,40,     635,     549,84.3,84.3,202408,2차,변경,[2024.05.24] 1차 변경,완료,58,서울특별시 강서구 마곡중앙10로 10," 1. 규모: 지하4층, 지상 9~10층 4개동
 2. 구조 : 철근콘크리트조, 철골철근콘크리트조"
건축.주택,주택,092470,대명자이그랜드시티(대구),2023-01-10,2026-04-30,차영철 CM,지동섭 공무,이용빈  ,48,     633,     618,0,0,202309,6차,변경,[2024.03.27] 전체실행,완료,20,대구광역시 남구 대명3동 2304-30번지,"아파트 17개동 지하3층 ~지상34층 2,023세대
주차장 지하3개층 / 주차대수 2,847대(세대당 1.40대)
근린생활시설, 경로당, 어린이집, 주민카페, 휘트니스센터, 주민공동시설(작은도서관 포함)"
